rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_category,next_rental
549923,407730,mobile,ended,167.0,,,Late: > 2 hours,False
550000,378182,mobile,ended,-136.0,,,Early,False
550134,294883,mobile,ended,-158.0,,,Early,False
550211,407838,mobile,ended,20.0,,,Late: 15-30 mins,False
550224,358567,connect,ended,-7.0,,,Early,False
550246,408578,mobile,ended,-15.0,,,Early,False
550248,382901,mobile,ended,-127.0,545782.0,60.0,Early,True
550459,295815,mobile,ended,82.0,,,Late: 1-2 hours,False
550537,239798,connect,ended,37.0,,,Late: 30-60 mins,False
550660,399967,mobile,ended,0.0,,,Late: 0-15 mins,False
550808,346652,connect,ended,-41.0,,,Early,False
550929,310681,connect,ended,-25.0,,,Early,False
551031,409711,mobile,ended,-1283.0,,,Early,False
551040,383343,mobile,ended,40.0,,,Late: 30-60 mins,False
551069,359880,connect,ended,-22.0,549192.0,180.0,Early,True
551108,291723,mobile,ended,211.0,,,Late: > 2 hours,False
551128,382939,mobile,ended,97.0,,,Late: 1-2 hours,False
551137,295783,connect,ended,16.0,,,Late: 15-30 mins,False
551179,304570,mobile,ended,536.0,,,Late: > 2 hours,False
551227,341710,mobile,ended,159.0,,,Late: > 2 hours,False
551317,283001,mobile,ended,-7.0,,,Early,False
551364,406062,connect,ended,34.0,,,Late: 30-60 mins,False
551429,277888,mobile,ended,203.0,,,Late: > 2 hours,False
551679,381233,mobile,ended,275.0,,,Late: > 2 hours,False
551795,382793,mobile,ended,-193.0,,,Early,False
551907,171249,mobile,ended,11.0,,,Late: 0-15 mins,False
552204,348625,mobile,ended,91.0,,,Late: 1-2 hours,False
552209,412676,mobile,ended,23.0,,,Late: 15-30 mins,False
552233,245154,connect,ended,4.0,,,Late: 0-15 mins,False
552265,408202,mobile,ended,-28.0,,,Early,False
552330,384657,connect,ended,23.0,554800.0,0.0,Late: 15-30 mins,True
552342,376619,mobile,ended,-965.0,547312.0,0.0,Early,True
552389,307335,mobile,ended,6.0,,,Late: 0-15 mins,False
552425,385625,connect,ended,-102.0,550476.0,30.0,Early,True
552448,364662,mobile,ended,-232.0,,,Early,False
552524,173061,connect,ended,-22.0,,,Early,False
552655,406081,mobile,ended,322.0,,,Late: > 2 hours,False
552677,323777,mobile,ended,31.0,,,Late: 30-60 mins,False
552700,348673,mobile,ended,63.0,,,Late: 1-2 hours,False
552716,294883,mobile,ended,10.0,,,Late: 0-15 mins,False
552850,315136,connect,ended,40.0,,,Late: 30-60 mins,False
552964,384385,mobile,ended,20.0,,,Late: 15-30 mins,False
553153,276924,mobile,ended,5.0,,,Late: 0-15 mins,False
553354,401166,mobile,ended,7.0,,,Late: 0-15 mins,False
553356,381684,mobile,ended,-1.0,,,Early,False
553367,385783,mobile,ended,24.0,519328.0,150.0,Late: 15-30 mins,True
553511,363658,mobile,ended,170.0,,,Late: > 2 hours,False
553532,355444,connect,ended,-20.0,,,Early,False
553660,412936,mobile,ended,-3.0,,,Early,False
553726,347847,mobile,ended,-36.0,,,Early,False
553730,390976,connect,ended,-29.0,,,Early,False
553755,393972,mobile,ended,1.0,,,Late: 0-15 mins,False
553795,402528,connect,ended,11.0,,,Late: 0-15 mins,False
553984,410694,mobile,ended,-148.0,,,Early,False
554025,293785,mobile,ended,37.0,,,Late: 30-60 mins,False
554508,241021,connect,ended,-37.0,,,Early,False
554572,380002,mobile,ended,358.0,,,Late: > 2 hours,False
554581,406629,mobile,ended,-5.0,,,Early,False
554695,402993,mobile,ended,17.0,560722.0,720.0,Late: 15-30 mins,True
555081,311353,mobile,ended,-72.0,,,Early,False
555083,328013,mobile,ended,161.0,,,Late: > 2 hours,False
555131,324889,mobile,ended,146.0,,,Late: > 2 hours,False
555458,351168,mobile,ended,-919.0,,,Early,False
555600,391519,connect,ended,-95.0,,,Early,False
555794,327585,mobile,ended,19.0,,,Late: 15-30 mins,False
555813,360548,mobile,ended,-26.0,,,Early,False
555992,375774,mobile,ended,58.0,,,Late: 30-60 mins,False
556072,320670,mobile,ended,21.0,,,Late: 15-30 mins,False
556079,374298,connect,ended,-1019.0,,,Early,False
556143,407632,mobile,ended,181.0,,,Late: > 2 hours,False
556483,413896,mobile,ended,14.0,,,Late: 0-15 mins,False
556488,296213,mobile,ended,8.0,,,Late: 0-15 mins,False
556580,397878,mobile,ended,77.0,,,Late: 1-2 hours,False
556608,368275,mobile,ended,-12.0,,,Early,False
556648,332548,mobile,ended,-581.0,,,Early,False
556696,234356,mobile,ended,59.0,,,Late: 30-60 mins,False
556755,395962,mobile,ended,98.0,,,Late: 1-2 hours,False
556986,402773,mobile,ended,23.0,,,Late: 15-30 mins,False
556999,406205,mobile,ended,14.0,,,Late: 0-15 mins,False
557296,387427,mobile,ended,7.0,,,Late: 0-15 mins,False
557314,383126,mobile,ended,-16.0,,,Early,False
557504,327732,mobile,ended,55.0,,,Late: 30-60 mins,False
557512,412816,mobile,ended,101.0,,,Late: 1-2 hours,False
557514,405433,mobile,ended,47.0,,,Late: 30-60 mins,False
557535,401623,mobile,ended,21.0,,,Late: 15-30 mins,False
557572,383139,mobile,ended,-85.0,,,Early,False
557674,375915,mobile,ended,15.0,550183.0,480.0,Late: 15-30 mins,True
557681,410151,mobile,ended,122.0,,,Late: > 2 hours,False
557685,272724,mobile,ended,996.0,,,Late: > 2 hours,False
557833,351547,mobile,ended,67.0,,,Late: 1-2 hours,False
557913,351021,mobile,ended,-4.0,,,Early,False
558047,396746,mobile,ended,-25.0,,,Early,False
558088,245154,connect,ended,-40.0,566170.0,180.0,Early,True
558250,375126,connect,ended,-4.0,549813.0,600.0,Early,True
558424,318867,mobile,ended,173.0,,,Late: > 2 hours,False
558525,297962,connect,ended,-256.0,555341.0,30.0,Early,True
558557,410258,mobile,ended,20.0,,,Late: 15-30 mins,False
558561,326755,mobile,ended,72.0,,,Late: 1-2 hours,False
558583,326578,mobile,ended,3.0,,,Late: 0-15 mins,False
558709,316772,mobile,ended,102.0,,,Late: 1-2 hours,False
